timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592210632329,2463,/-18,200,OK,Thread Group 1-2,text,true,,1306,338,5,5,https://blazedemo.com/,2461,0,1825
1592210632587,2209,/-18,200,OK,Thread Group 1-3,text,true,,1480,338,5,5,https://blazedemo.com/,2208,0,1550
1592210633062,1771,/-18,200,OK,Thread Group 1-5,text,true,,1254,338,5,5,https://blazedemo.com/,1771,0,1092
1592210632253,2706,/-18,200,OK,Thread Group 1-1,text,true,,1436,338,5,5,https://blazedemo.com/,2706,0,1901
1592210632825,2334,/-18,200,OK,Thread Group 1-4,text,true,,1419,338,5,5,https://blazedemo.com/,2334,0,1333
1592210634797,479,/reserve.php-24,200,OK,Thread Group 1-2,text,true,,1368,517,5,5,https://blazedemo.com/reserve.php,479,0,0
1592210634797,600,/reserve.php-24,200,OK,Thread Group 1-3,text,true,,1546,517,5,5,https://blazedemo.com/reserve.php,599,0,0
1592210634834,728,/reserve.php-24,200,OK,Thread Group 1-5,text,true,,1476,517,5,5,https://blazedemo.com/reserve.php,728,0,0
1592210635278,480,/purchase.php-25,200,OK,Thread Group 1-2,text,true,,1648,572,5,5,https://blazedemo.com/purchase.php,479,0,0
1592210635161,760,/reserve.php-24,200,OK,Thread Group 1-4,text,true,,1475,517,5,5,https://blazedemo.com/reserve.php,759,0,0
1592210634961,1081,/reserve.php-24,200,OK,Thread Group 1-1,text,true,,1583,517,5,5,https://blazedemo.com/reserve.php,1080,0,0
1592210635564,480,/purchase.php-25,200,OK,Thread Group 1-5,text,true,,1671,572,5,5,https://blazedemo.com/purchase.php,479,0,0
1592210635398,837,/purchase.php-25,200,OK,Thread Group 1-3,text,true,,1634,572,5,5,https://blazedemo.com/purchase.php,836,0,0
1592210635760,592,/confirmation.php-26,200,OK,Thread Group 1-2,text,true,,1522,662,5,5,https://blazedemo.com/confirmation.php,578,0,0
