timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592210172827,5343,/-18,200,OK,Thread Group 1-3,text,true,,1265,338,5,5,https://blazedemo.com/,5338,0,4764
1592210173296,4874,/-18,200,OK,Thread Group 1-5,text,true,,1438,338,5,5,https://blazedemo.com/,4869,0,4291
1592210173060,5130,/-18,200,OK,Thread Group 1-4,text,true,,1486,338,5,5,https://blazedemo.com/,5129,0,4529
1592210172827,5427,/-18,200,OK,Thread Group 1-2,text,true,,1284,338,5,5,https://blazedemo.com/,5424,0,4749
1592210172827,5579,/-18,200,OK,Thread Group 1-1,text,true,,1433,338,5,5,https://blazedemo.com/,5560,0,4755
1592210178180,550,/reserve.php-24,200,OK,Thread Group 1-5,text,true,,1392,517,5,5,https://blazedemo.com/reserve.php,548,0,0
1592210178180,571,/reserve.php-24,200,OK,Thread Group 1-3,text,true,,1589,517,5,5,https://blazedemo.com/reserve.php,570,0,0
1592210178192,614,/reserve.php-24,200,OK,Thread Group 1-4,text,true,,1354,517,5,5,https://blazedemo.com/reserve.php,611,0,0
1592210178407,491,/reserve.php-24,200,OK,Thread Group 1-1,text,true,,1380,517,5,5,https://blazedemo.com/reserve.php,491,0,0
1592210178256,728,/reserve.php-24,200,OK,Thread Group 1-2,text,true,,1539,517,5,5,https://blazedemo.com/reserve.php,725,0,0
1592210178753,535,/purchase.php-25,200,OK,Thread Group 1-3,text,true,,1660,572,5,5,https://blazedemo.com/purchase.php,534,0,0
1592210178732,705,/purchase.php-25,200,OK,Thread Group 1-5,text,true,,1684,572,5,5,https://blazedemo.com/purchase.php,704,0,0
1592210178807,879,/purchase.php-25,200,OK,Thread Group 1-4,text,true,,1785,572,5,5,https://blazedemo.com/purchase.php,878,0,0
1592210178985,843,/purchase.php-25,200,OK,Thread Group 1-2,text,true,,1733,572,5,5,https://blazedemo.com/purchase.php,843,0,0
1592210178899,1085,/purchase.php-25,200,OK,Thread Group 1-1,text,true,,1560,572,5,5,https://blazedemo.com/purchase.php,1084,0,0
1592210179289,720,/confirmation.php-26,200,OK,Thread Group 1-3,text,true,,1595,662,5,5,https://blazedemo.com/confirmation.php,718,0,0
1592210178752,1255,Reservation,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,3255,1234,5,5,null,1252,3,0
1592210179687,588,/confirmation.php-26,200,OK,Thread Group 1-4,text,true,,1364,662,5,5,https://blazedemo.com/confirmation.php,583,0,0
1592210178806,1467,Reservation,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,3149,1234,5,5,null,1461,2,0
1592210179829,491,/confirmation.php-26,200,OK,Thread Group 1-2,text,true,,1487,662,5,5,https://blazedemo.com/confirmation.php,490,0,0
1592210178985,1334,Reservation,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,3220,1234,5,5,null,1333,2,0
1592210179438,977,/confirmation.php-26,200,OK,Thread Group 1-5,text,true,,1593,662,5,5,https://blazedemo.com/confirmation.php,975,0,0
1592210178732,1682,Reservation,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,3277,1234,5,5,null,1679,1,0
1592210180011,451,/reserve.php-24,200,OK,Thread Group 1-3,text,true,,1440,517,5,5,https://blazedemo.com/reserve.php,450,0,0
1592210179985,581,/confirmation.php-26,200,OK,Thread Group 1-1,text,true,,1513,662,5,5,https://blazedemo.com/confirmation.php,578,0,0
1592210178899,1666,Reservation,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,3073,1234,5,5,null,1662,1,0
1592210180321,558,/-18,200,OK,Thread Group 1-2,text,true,,1339,338,5,5,https://blazedemo.com/,553,0,0
1592210180567,461,/-18,200,OK,Thread Group 1-1,text,true,,1412,338,5,5,https://blazedemo.com/,460,0,0
1592210180276,797,/reserve.php-24,200,OK,Thread Group 1-4,text,true,,1347,517,5,5,https://blazedemo.com/reserve.php,793,0,0
1592210180416,681,/-18,200,OK,Thread Group 1-5,text,true,,1308,338,5,5,https://blazedemo.com/,677,0,0
1592210180798,521,/-18,200,OK,Thread Group 1-3,text,true,,1503,338,5,5,https://blazedemo.com/,520,0,0
1592210180924,555,/confirmation.php-26,200,OK,Thread Group 1-2,text,true,,1555,662,5,5,https://blazedemo.com/confirmation.php,551,0,0
1592210181070,476,/purchase.php-25,200,OK,Thread Group 1-1,text,true,,1566,572,5,5,https://blazedemo.com/purchase.php,475,0,0
1592210181125,482,/confirmation.php-26,200,OK,Thread Group 1-5,text,true,,1468,662,5,5,https://blazedemo.com/confirmation.php,481,0,0
1592210181098,520,/purchase.php-25,200,OK,Thread Group 1-4,text,true,,1597,572,5,5,https://blazedemo.com/purchase.php,519,0,0
1592210181320,551,/-18,200,OK,Thread Group 1-3,text,true,,1377,338,5,5,https://blazedemo.com/,550,0,0
1592210181480,493,/-18,200,OK,Thread Group 1-2,text,true,,1294,338,5,5,https://blazedemo.com/,489,0,0
1592210181547,556,/-18,200,OK,Thread Group 1-1,text,true,,1369,338,5,5,https://blazedemo.com/,555,0,0
1592210181619,835,/-18,200,OK,Thread Group 1-4,text,true,,1278,338,5,5,https://blazedemo.com/,830,0,0
1592210181608,887,/-18,200,OK,Thread Group 1-5,text,true,,1455,338,5,5,https://blazedemo.com/,882,0,0
1592210181872,632,/purchase.php-25,200,OK,Thread Group 1-3,text,true,,1741,572,5,5,https://blazedemo.com/purchase.php,631,0,0
1592210182104,469,/purchase.php-25,200,OK,Thread Group 1-1,text,true,,1750,572,5,5,https://blazedemo.com/purchase.php,467,0,0
1592210181974,655,/purchase.php-25,200,OK,Thread Group 1-2,text,true,,1578,572,5,5,https://blazedemo.com/purchase.php,647,0,0
1592210182456,514,/purchase.php-25,200,OK,Thread Group 1-4,text,true,,1705,572,5,5,https://blazedemo.com/purchase.php,509,0,0
1592210182507,464,/confirmation.php-26,200,OK,Thread Group 1-3,text,true,,1369,662,5,5,https://blazedemo.com/confirmation.php,463,0,0
1592210182497,529,/purchase.php-25,200,OK,Thread Group 1-5,text,true,,1715,572,5,5,https://blazedemo.com/purchase.php,520,0,0
1592210182631,484,/confirmation.php-26,200,OK,Thread Group 1-2,text,true,,1402,662,5,5,https://blazedemo.com/confirmation.php,478,0,0
1592210182575,581,/confirmation.php-26,200,OK,Thread Group 1-1,text,true,,1482,662,5,5,https://blazedemo.com/confirmation.php,576,0,0
1592210182974,538,/-18,200,OK,Thread Group 1-3,text,true,,1402,338,5,5,https://blazedemo.com/,531,0,0
1592210182971,575,/confirmation.php-26,200,OK,Thread Group 1-4,text,true,,1470,662,5,5,https://blazedemo.com/confirmation.php,574,0,0
1592210183157,561,/-18,200,OK,Thread Group 1-1,text,true,,1472,338,5,5,https://blazedemo.com/,560,0,0
1592210183027,739,/confirmation.php-26,200,OK,Thread Group 1-5,text,true,,1443,662,5,5,https://blazedemo.com/confirmation.php,738,0,0
1592210183547,523,/-18,200,OK,Thread Group 1-4,text,true,,1464,338,5,5,https://blazedemo.com/,518,0,0
