timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591775654998,1594,Registration,200,OK,Thread Group 1-8,text,true,,2887,689,50,50,http://localhost:1080/cgi-bin/login.pl,1342,0,120
1591775655007,1605,Registration,200,OK,Thread Group 1-20,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,1398,0,109
1591775654994,1614,Registration,200,OK,Thread Group 1-19,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,1482,0,125
1591775654632,1594,Sign-up,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2887,689,50,50,null,1342,408,120
1591775654790,1605,Sign-up,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-20,,true,,2879,689,50,50,null,1398,240,109
1591775654802,1614,Sign-up,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-19,,true,,2879,689,50,50,null,1482,219,125
1591775655006,1591,Registration,200,OK,Thread Group 1-15,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,1329,0,113
1591775654779,1591,Sign-up,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-15,,true,,2879,689,50,50,null,1329,269,113
1591775655007,1752,Registration,200,OK,Thread Group 1-27,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,1328,0,115
1591775654943,1752,Sign-up,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-27,,true,,2879,689,50,50,null,1328,66,115
1591775655007,1994,Registration,200,OK,Thread Group 1-28,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,1410,0,111
1591775654948,1994,Sign-up,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-28,,true,,2879,689,50,50,null,1410,60,111
1591775655004,2256,Registration,200,OK,Thread Group 1-34,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,1851,0,114
1591775655082,2178,Registration,200,OK,Thread Group 1-37,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,1765,0,37
1591775655081,2178,Sign-up,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-37,,true,,2879,689,50,50,null,1765,4,37
1591775655003,2256,Sign-up,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-34,,true,,2879,689,50,50,null,1851,5,114
1591775655010,2259,Registration,200,OK,Thread Group 1-10,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,1716,0,107
